setid,"Temperature, K",Weight fraction of 1-butyl-3-methylimidazolium L-prolinate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tYfkj,293.15,0.103,100,1013.8,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.142,100,1020.1,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.188,100,1027.5,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.267,100,1041.3,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.359,100,1056.5,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.446,100,1071,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.517,100,1083,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.606,100,1097.6,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.691,100,1108.6,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.797,100,1114.2,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,293.15,0.887,100,1114.8,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.103,100,1010.8,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.142,100,1017.2,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.188,100,1024.4,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.267,100,1037.7,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.359,100,1053.2,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.446,100,1066.7,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.517,100,1078.7,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.606,100,1092.5,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.691,100,1105.2,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.797,100,1110.9,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,298.15,0.887,100,1110.3,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,303.15,0.103,100,1008.9,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,303.15,0.142,100,1014.1,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,303.15,0.188,100,1021.8,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,303.15,0.267,100,1034.4,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,303.15,0.359,100,1049.7,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
tYfkj,303.15,0.446,100,1062.9,Alopina et al. (2018),Density,Liquid,AADYJk,O,water,AAwlNN,CCCC[n+]1ccn(C)c1.O=C([O-])[C@@H]1CCCN1,1-butyl-3-methylimidazolium L-prolinate,,,
