setid,"MolaLity of 1-butyl-3-methylpyridinium dicyanamide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
QKLLe,0.0093,101,298.15,997.194,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.0185,101,298.15,997.302,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.0276,101,298.15,997.409,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.04,101,298.15,997.554,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.055,101,298.15,997.731,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.0692,101,298.15,997.891,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.0841,101,298.15,998.062,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.0977,101,298.15,998.21,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.112,101,298.15,998.363,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.1176,101,298.15,998.423,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.1304,101,298.15,998.559,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.1356,101,298.15,998.614,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.1506,101,298.15,998.766,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.1637,101,298.15,998.898,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.1642,101,298.15,998.906,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.1832,101,298.15,999.099,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
QKLLe,0.1973,101,298.15,999.236,Bandres et al. (2009b),Density,Liquid,AADYJk,O,water,AApefh,CCCC[n+]1cccc(C)c1.N#C[N-]C#N,1-butyl-3-methylpyridinium dicyanamide,,,
