setid,"Temperature, K","MolaLity of 1-hexyl-3-methylimidazolium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
fiDvQ,288.15,0,101.325,999.1,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,288.15,0.0335,101.325,1000.2,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,288.15,0.0489,101.325,1000.9,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,288.15,0.1125,101.325,1002.7,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,288.15,0.14,101.325,1004.4,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,288.15,0.203,101.325,1006.1,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,288.15,0.2423,101.325,1007.8,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,293.15,0,101.325,998.2,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,293.15,0.0335,101.325,999.3,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,293.15,0.0489,101.325,1000,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,293.15,0.1125,101.325,1001.7,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,293.15,0.14,101.325,1003.4,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,293.15,0.203,101.325,1005,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,293.15,0.2423,101.325,1006.6,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,298.15,0,101.325,997,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,298.15,0.0335,101.325,998.1,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,298.15,0.0489,101.325,998.8,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,298.15,0.1125,101.325,1000.4,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,298.15,0.14,101.325,1002,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,298.15,0.203,101.325,1003.6,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,298.15,0.2423,101.325,1005.1,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,303.15,0,101.325,995.6,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,303.15,0.0335,101.325,996.6,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,303.15,0.0489,101.325,997.3,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,303.15,0.1125,101.325,998.9,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,303.15,0.14,101.325,1000.4,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,303.15,0.203,101.325,1002,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
fiDvQ,303.15,0.2423,101.325,1003.4,Ayranci and Sahin (2018),Density,Liquid,AAwscj,CCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-hexyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water,,,
