setid,"MolaRity of N,N,N-trimethyl-1-octadecanaminium bromide, mol/dm3","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RamaX,0,101.325,298,997.053,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.001,101.325,298,997.053,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.002,101.325,298,997.053,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.003,101.325,298,997.053,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.004,101.325,298,997.053,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.005,101.325,298,997.053,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.006,101.325,298,997.054,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.008,101.325,298,997.054,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.01,101.325,298,997.054,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.013,101.325,298,997.054,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.016,101.325,298,997.054,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.02,101.325,298,997.055,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.025,101.325,298,997.055,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.03,101.325,298,997.056,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
RamaX,0.04,101.325,298,997.057,Gomez-Diaz et al. (2007b),Density,Liquid,ABXZFX,CCCCCCCCCCCCCCCCCC[N+](C)(C)C.[Br-],"N,N,N-trimethyl-1-octadecanaminium bromide",AADYJk,O,water,,,
