setid,Mole fraction of butan-1-ol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
YAwiF,0,101,298.15,1103.8,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.0664,101,298.15,1096.3,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.0975,101,298.15,1092.5,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.1439,101,298.15,1086.6,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.169,101,298.15,1083.1,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.2135,101,298.15,1076.8,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.2273,101,298.15,1074.9,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.2697,101,298.15,1068.4,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.2971,101,298.15,1064.1,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.3043,101,298.15,1062.8,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.4084,101,298.15,1044.3,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.4537,101,298.15,1035,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.4744,101,298.15,1030.6,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
YAwiF,0.5726,101,298.15,1007,Heintz et al. (2005c),Density,Liquid,AAONVE,CCCCO,butan-1-ol,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
