setid,"MolaLity of L-valine, mol/kg","Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ClsMx,0,0,298.15,101,997.04,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0,0.0909,298.15,101,1001.54,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0,0.1797,298.15,101,1005.97,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0,0.267,298.15,101,1010.2,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0,0.3564,298.15,101,1014.36,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.0489,0.1797,298.15,101,1007.12,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.0505,0.0909,298.15,101,1002.87,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.0535,0.3564,298.15,101,1015.32,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.0566,0.267,298.15,101,1011.49,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.1029,0.0909,298.15,101,1004.23,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.104,0.1797,298.15,101,1008.46,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
ClsMx,0.105,0.267,298.15,101,1012.65,Shekaari and Jebali (2010b),Density,Liquid,AAWbiv,CC(C)[C@H](N)C(=O)O,L-valine,AADYJk,O,water,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide
