setid,"Temperature, K",Weight fraction of 2-amino-2-methylpropan-1-ol,Weight fraction of 1-butyl-3-methylimidazolium acetate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ukSqY,293.15,0.3,0,101,999.5,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,293.15,0.3,0.1,101,1009.1,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,293.15,0.35,0.05,101,1004.2,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,293.15,0.4,0,101,999.2,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,303.15,0.3,0,101,993.8,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,303.15,0.3,0.1,101,1002.3,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,303.15,0.35,0.05,101,997.3,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,303.15,0.4,0,101,992.2,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,313.15,0.3,0,101,987.9,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
ukSqY,313.15,0.3,0.1,101,995.7,Shojaeian and Haghtalab (2013),Density,Liquid,AARHTY,CC(C)(N)CO,2-amino-2-methylpropan-1-ol,AADYJk,O,water,AAmGQS,CC(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium acetate
