setid,Mole fraction of propan-1-ol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LBVie,0,298.15,101.3,1222.2,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.0863,298.15,101.3,1208.4,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.1279,298.15,101.3,1201.2,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.2201,298.15,101.3,1183.6,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.3243,298.15,101.3,1160.2,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.4177,298.15,101.3,1135.7,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.5126,298.15,101.3,1106.2,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.6093,298.15,101.3,1070,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.7176,298.15,101.3,1019.9,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.824,298.15,101.3,956.78,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.8834,298.15,101.3,913.04,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,0.9658,298.15,101.3,837.78,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
LBVie,1,298.15,101.3,799.5,Calvar et al. (2009e),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAvdhf,CCOS(=O)(=O)[O-].CC[n+]1cccc(C)c1,1-ethyl-3-methylpyridinium ethylsulfate,,,
