setid,Mole fraction of propan-1-ol,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JGMPf,0,100,298,1437,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.0982,100,298,1419.3,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.1976,100,298,1398.3,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.3043,100,298,1371.7,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.4522,100,298,1324.8,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.5005,100,298,1306,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.6004,100,298,1259.4,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.6995,100,298,1198.6,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.8004,100,298,1114.63,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.9,100,298,993.77,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,0.95,100,298,909.74,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
JGMPf,1,100,298,800,Yoshimura et al. (2021),Density,Liquid,ABchwx,CCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-3-methylimidazolium bis(trifluoromethylsulfonyl)imide,AALcLI,CCCO,propan-1-ol,,,
