setid,"Temperature, K","MolaLity of 1-decyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of 4-O-.beta.-D-galactopyranosyl-D-glucose, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rzDAf,288.15,0,86,0.5,1059.95,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.01509,86,0.5,1060.37,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.01921,86,0.5,1060.48,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.02504,86,0.5,1060.64,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.02924,86,0.5,1060.76,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.0335,86,0.5,1060.87,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.03744,86,0.5,1060.97,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.04143,86,0.5,1061.04,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.04586,86,0.5,1061.13,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.0522,86,0.5,1061.26,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.0878,86,0.5,1061.94,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.1382,86,0.5,1062.9,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.1949,86,0.5,1063.95,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.2503,86,0.5,1064.94,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
rzDAf,288.15,0.2799,86,0.5,1065.46,Zamani et al. (2018),Density,Liquid,ABNqbw,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@H]1O,4-O-.beta.-D-galactopyranosyl-D-glucose,AADYJk,O,water,ABGQHG,CCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-decyl-3-methylimidazolium bromide
