setid,"Temperature, K","MolaRity of sodium dodecyl sulfate, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
urXRZ,298.15,0.072,101.325,785.3,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.1,101.325,785.39,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.13,101.325,785.55,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.17,101.325,785.86,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.2,101.325,786.18,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.25,101.325,786.81,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.28,101.325,787.24,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.31,101.325,787.76,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.34,101.325,788.35,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.362,101.325,788.83,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,298.15,0.396,101.325,789.68,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.072,101.325,776.63,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.1,101.325,776.76,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.13,101.325,776.98,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.17,101.325,777.45,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.2,101.325,777.93,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.25,101.325,778.97,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.28,101.325,779.68,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.31,101.325,780.48,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.362,101.325,782.28,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,308.15,0.396,101.325,783.35,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.072,101.325,768.1,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.1,101.325,768.3,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.13,101.325,768.62,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.17,101.325,769.37,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.2,101.325,769.97,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.25,101.325,771.39,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.28,101.325,772.43,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.31,101.325,773.58,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.34,101.325,775.18,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
urXRZ,318.15,0.396,101.325,778.04,El-Banna and Ramadan (1995),Density,Liquid,AAIsrh,CCO,ethanol,ABDXmt,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],sodium dodecyl sulfate,,,
