setid,Mole fraction of 3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DMgUf,0,293.15,101,791.6,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0,298.15,101,786.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0,303.15,101,782.2,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0,308.15,101,777.4,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0,313.15,101,772.7,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0,318.15,101,767.9,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0,323.15,101,763.1,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.1859,293.15,101,1000.56,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.1859,298.15,101,996.55,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.1859,303.15,101,992.53,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.1859,308.15,101,988.52,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
DMgUf,0.1859,313.15,101,984.56,Gonfa et al. (2015a),Density,Liquid,AAGIBL,CO,methanol,AAtXKX,CCCCn1cc[n+](CCC#N)c1.N#C[S-],3-butyl-1-(2-cyanoethyl)-imidazolium thiocyanate,,,
