setid,"Temperature, K",Weight fraction of water,"Pressure, kPa",Solvent: Mole ratio of chromium chloride to other component of binary solvent,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
eNdLE,283.15,0.223,101,0.333,1229.5,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,283.15,0.277,101,0.333,1214.4,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,283.15,0.324,101,0.333,1199.1,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,283.15,0.365,101,0.333,1186.9,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,293.15,0.223,101,0.333,1222.7,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,293.15,0.277,101,0.333,1208.4,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,293.15,0.324,101,0.333,1193.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,293.15,0.365,101,0.333,1181.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,298.15,0.223,101,0.333,1219.6,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,298.15,0.277,101,0.333,1205.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,298.15,0.324,101,0.333,1190.2,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,298.15,0.365,101,0.333,1178.5,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,303.15,0.223,101,0.333,1216.5,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
eNdLE,303.15,0.277,101,0.333,1202.3,Sun and Brennecke (2015),Density,Liquid,AAeXHV,Cl[Cr](Cl)Cl,chromium chloride,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
