setid,"Temperature, K","MolaLity of 2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol, mol/kg","Pressure, kPa","Solvent: MolaLity of 1-pentyl-3-methylimidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TtUnt,308.15,0.0293,101,0.03,938,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,308.15,0.0489,101,0.03,939.73,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,308.15,0.0672,101,0.03,941,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,308.15,0.1009,101,0.03,943.3,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,308.15,0.1081,101,0.03,943.79,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,308.15,0.1265,101,0.03,945.03,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,308.15,0.1473,101,0.03,946.43,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,308.15,0.1675,101,0.03,947.79,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,308.15,0.1923,101,0.03,949.46,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,308.15,0.2085,101,0.03,950.57,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,318.15,0.0293,101,0.03,928.43,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
TtUnt,318.15,0.0489,101,0.03,930.18,Shekaari et al. (2012f),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,ABIrcf,Oc1ccccc1/C=N/c1ccccc1/N=C/c1ccccc1O,"2,2'-[1,2-phenylenebis(nitrilomethylidyne)]bis-phenol",AAsrIo,CCCCC[n+]1ccn(C)c1.[Br-],1-pentyl-3-methylimidazolium bromide
