setid,Mole fraction of ethanol,Mole fraction of water,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NZLAM,0.0395,0.9469,100,298.15,1015.67,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.0567,0.9117,100,298.15,1047.95,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.0674,0.8724,100,298.15,1088.92,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.0859,0.8132,100,298.15,1129.02,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.0984,0.3754,100,298.15,1278,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.0987,0.5532,100,298.15,1245.98,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.1015,0.8858,100,298.15,993.73,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.1018,0.1512,100,298.15,1297.7,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.1168,0.8536,100,298.15,1023.04,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.118,0.7046,100,298.15,1173.78,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.1409,0.8036,100,298.15,1056.23,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.1629,0.8252,100,298.15,972.21,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.1736,0.7351,100,298.15,1088.08,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.1877,0.7851,100,298.15,995.17,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.1977,0.3341,100,298.15,1247.33,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.1993,0.4914,100,298.15,1207.69,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.2074,0.1334,100,298.15,1271.1,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.2203,0.7294,100,298.15,1021.07,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.2319,0.7572,100,298.15,948.04,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.2333,0.6125,100,298.15,1121.69,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.2646,0.6542,100,298.15,1046.02,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
NZLAM,0.2974,0.4312,100,298.15,1167.48,Gomez et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,AADYJk,O,water,AAoCnc,COS(=O)(=O)[O-].Cn1cc[n+](C)c1,"1,3-dimethylimidazolium methylsulfate"
