setid,"Mole fraction of N,N-diethylethanolammonium hydrogen dihexanoate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZaiEt,0,278.15,101,1174.1,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZaiEt,0,283.15,101,1170.4,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZaiEt,0,288.15,101,1166.8,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZaiEt,0,293.15,101,1163.4,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZaiEt,0,298.15,101,1160.1,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZaiEt,0,303.15,101,1157,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZaiEt,0,308.15,101,1153.7,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZaiEt,0,313.15,101,1150.1,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZaiEt,0,318.15,101,1147.1,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
ZaiEt,0,323.15,101,1143.6,Martins et al. (2020),Density,Liquid,ABPLno,CCCCCC(=O)O.CCCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethylethanolammonium hydrogen dihexanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
