setid,"Temperature, K",Mole fraction of glycerol,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tnoRF,293.15,0.123,100,1240,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.264,100,1239,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.39,100,1238,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.5,100,1239,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.601,100,1239,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.703,100,1242,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.794,100,1245,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.901,100,1252,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.958,100,1256,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.98,100,1258,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.988,100,1258,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.996,100,1260,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,293.15,0.998,100,1260,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.123,100,1236,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.264,100,1235,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.39,100,1235,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.5,100,1235,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.601,100,1236,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.703,100,1238,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
tnoRF,298.15,0.794,100,1241,Nordness et al. (2021),Density,Liquid,AARkmK,OCC(O)CO,glycerol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
