setid,"MolaLity of lithium bis((trifluoromethyl)sulfonyl)amide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PqXho,0.00619,101,298,0.001,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
PqXho,0.0162,101,298,0.0027,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
PqXho,0.034,101,298,0.0057,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
PqXho,0.041,101,298,0.0069,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
PqXho,0.0504,101,298,0.0085,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
PqXho,0.056,101,298,0.0094,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
PqXho,0.0635,101,298,0.011,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
PqXho,0.10466,101,298,0.017,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
PqXho,0.11377,101,298,0.019,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
PqXho,0.11867,101,298,0.02,Brouillette et al. (1998),Density,Liquid,AARRYu,COCCOC,"1,2-dimethoxyethane",ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,,,
