setid,Mole fraction of water,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CZPgc,0.144,298.15,101.3,1479.48,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.144,303.15,101.3,1474.53,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.144,308.15,101.3,1469.61,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.144,313.15,101.3,1464.69,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.144,318.15,101.3,1459.79,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.144,323.15,101.3,1454.91,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.144,328.15,101.3,1450.05,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.144,333.15,101.3,1445.21,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.144,338.15,101.3,1440.39,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.144,343.15,101.3,1435.58,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,298.15,101.3,1476.6,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,303.15,101.3,1471.63,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,308.15,101.3,1466.68,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,313.15,101.3,1461.75,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,318.15,101.3,1456.83,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,323.15,101.3,1451.92,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,328.15,101.3,1447.04,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,333.15,101.3,1442.18,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,338.15,101.3,1437.33,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.201,343.15,101.3,1432.49,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.306,298.15,101.3,1469.91,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.306,303.15,101.3,1464.89,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
CZPgc,0.306,308.15,101.3,1459,Gonzalez et al. (2015b),Density,Liquid,AADYJk,O,water,ABZTYy,CC[n+]1ccc(C)cc1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-4-methylpyridinium bis((trifluoromethyl)sulfonyl)amide,,,
