setid,"Temperature, K","MolaLity of 1-(carboxymethyl)-3-propylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
sLDLP,293.15,0.0302,101,999.68,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,293.15,0.0505,101,1000.6,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,293.15,0.1021,101,1002.96,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,293.15,0.2084,101,1007.61,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,293.15,0.5569,101,1021.7,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,293.15,1.2573,101,1046.14,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,293.15,2.1655,101,1071.45,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,293.15,3.3857,101,1097.44,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,293.15,5.1141,101,1123.69,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,293.15,7.7681,101,1150.29,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,298.15,0.0302,101,998.52,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,298.15,0.0505,101,999.44,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,298.15,0.1021,101,1001.71,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,298.15,0.2084,101,1006.08,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,298.15,0.5569,101,1019.83,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,298.15,1.2573,101,1044.05,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,298.15,2.1655,101,1069.11,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,298.15,3.3857,101,1094.76,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
sLDLP,298.15,5.1141,101,1120.74,Sun et al. (2014a),Density,Liquid,AADYJk,O,water,AAnSxn,CCCn1cc[n+](CC(=O)O)c1.[Cl-],1-(carboxymethyl)-3-propylimidazolium chloride,,,
