setid,"Temperature, K","MolaRity of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate, mol/dm3","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zIwjf,298.15,0,101,786.6,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,298.15,0.005,101,787.6,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,298.15,0.01,101,788,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,298.15,0.015,101,788.5,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,298.15,0.02,101,789,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,308.15,0,101,777.1,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,308.15,0.005,101,778,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,308.15,0.01,101,778.5,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,308.15,0.015,101,779,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,308.15,0.02,101,779.5,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,318.15,0,101,767.7,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,318.15,0.005,101,768.5,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,318.15,0.01,101,769.4,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,318.15,0.015,101,769.9,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
zIwjf,318.15,0.02,101,770.4,Brahman and Sinha (2014),Density,Liquid,AAGIBL,CO,methanol,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
