setid,"Temperature, K","MolaLity of 1-propyl-3-methylimidazolium methylsulfate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EBStf,298.15,0.013,101,997.8,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,0.041,101,999.3,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,0.049,101,999.7,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,0.072,101,1000.8,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,0.079,101,1001.1,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,0.127,101,1003.3,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,0.254,101,1008.4,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,0.409,101,1013.5,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,0.506,101,1016.1,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
EBStf,298.15,0.656,101,1020,Shekaari and Armanfar (2010),Density,Liquid,AADYJk,O,water,AAtWnV,CCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-propyl-3-methylimidazolium methylsulfate,,,
