setid,Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
TgBxR,0.0982,313.15,101,927.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.0982,318.15,101,923,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.1976,293.15,101,1041.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.1976,298.15,101,1037.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.1976,303.15,101,1033.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.1976,308.15,101,1029.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.1976,313.15,101,1025,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.1976,318.15,101,1020.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.2999,293.15,101,1111.4,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.2999,298.15,101,1107.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.2999,303.15,101,1103,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.2999,308.15,101,1098.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.2999,313.15,101,1094.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.2999,318.15,101,1090.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.3996,293.15,101,1160.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.3996,298.15,101,1156.1,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.3996,303.15,101,1152,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.3996,308.15,101,1147.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.3996,313.15,101,1143.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.3996,318.15,101,1139.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.4973,293.15,101,1196.9,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.4973,298.15,101,1192.8,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.4973,303.15,101,1188.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.4973,308.15,101,1184.7,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.4973,313.15,101,1180.6,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.4973,318.15,101,1176.5,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.5923,293.15,101,1225.3,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.5923,298.15,101,1221.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.5923,303.15,101,1217.2,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.5923,308.15,101,1213.1,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.5923,313.15,101,1209.1,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.5923,318.15,101,1205,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.6898,293.15,101,1249.1,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.6898,298.15,101,1245,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.6898,303.15,101,1241,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
TgBxR,0.6898,308.15,101,1237,Garcia-Miaja et al. (2008),Density,Liquid,AAIsrh,CCO,ethanol,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
