setid,"MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaRity of dodecyltrimethylammonium bromide, mol/dm3","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kwWTw,0,101,298.15,0.1,998.566,Talele and Kishore (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
kwWTw,0.062325,101,298.15,0.1,1000.55,Talele and Kishore (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
kwWTw,0.115522,101,298.15,0.1,1002.25,Talele and Kishore (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
kwWTw,0.149686,101,298.15,0.1,1003.29,Talele and Kishore (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
kwWTw,0.199754,101,298.15,0.1,1004.86,Talele and Kishore (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
kwWTw,0.248939,101,298.15,0.1,1006.4,Talele and Kishore (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
kwWTw,0.29447,101,298.15,0.1,1007.76,Talele and Kishore (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
kwWTw,0.350129,101,298.15,0.1,1009.46,Talele and Kishore (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
kwWTw,0.388371,101,298.15,0.1,1010.62,Talele and Kishore (2014),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
