setid,Mole fraction of butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HSKdb,0.01,293,100,839.1,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,298,100,833.7,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,303,100,828.3,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,308,100,822.8,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,313,100,817.4,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,318,100,811.9,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,323,100,806.1,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,328,100,800.5,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,333,100,795,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,338,100,789.6,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
HSKdb,0.01,343,100,783.6,Arkhipova et al. (2022b),Density,Liquid,ACHfuY,FC(S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F)(F)F.CCCC[N+](C[c-]1cccc1)(C)C.[cH-]1cccc1.[Fe+2],butyldimethyl(ferrocenylmethyl)ammonium bis(trifluoromethanesulfonyl)amide,AAHueB,CC#N,acetonitrile,,,
