setid,"Temperature, K",Mole fraction of pentanal,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VMISN,288.148,0.897,96,935.22,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.149,0.101,96,1213.7,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.149,0.3008,96,1168.6,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.149,0.6047,96,1073.97,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.149,0.7012,96,1036.82,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.149,0.9513,96,896.9,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.151,0.4074,96,1139.9,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.153,0.0792,96,1218,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.153,1,96,814.15,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.157,0,96,1243.7,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.157,0.2039,96,1191.7,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.157,0.5048,96,1109.3,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,288.157,0.8024,96,990.74,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.142,0.0792,96,1215,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.142,1,96,809.45,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.149,0.7012,96,1033.26,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.149,0.8024,96,986.74,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.149,0.9513,96,892.5,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.15,0.101,96,1210.8,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.15,0.5048,96,1106.2,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.15,0.6047,96,1070.53,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.151,0.2039,96,1188.7,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.151,0.3008,96,1165.5,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.151,0.4074,96,1136.9,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.151,0.897,96,931.08,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,293.156,0,96,1240,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,298.141,0,96,1236.9,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,298.143,0.897,96,926.62,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,298.144,0.4074,96,1133.5,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,298.144,0.5048,96,1102.7,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
VMISN,298.144,0.9513,96,887.8,Alvarez et al. (2011),Density,Liquid,AAQdeb,CCCCC=O,pentanal,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
