setid,"Temperature, K",Mole fraction of 2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SiIdR,298.15,0,101,862.22,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.1328,101,1038.4,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.2366,101,1122,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.2996,101,1158.98,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.3852,101,1199.04,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.4533,101,1224.11,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.5098,101,1241.64,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.5225,101,1245.02,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.5705,101,1257.56,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.6362,101,1273.15,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
SiIdR,298.15,0.7254,101,1290.61,Domanska et al. (2013e),Density,Liquid,AARlpN,Cc1ccccc1,toluene,ABwZJz,CCCCCCCC[n+]1ccc2ccccc2c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,2-octylisoquinolinium bis((trifluoromethyl)sulfonyl)amide,,,
