setid,"Temperature, K","MolaLity of 1-hexyl-3-methylimidazolium thiocyanate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VEtIB,288.15,0,101,1038.6,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
VEtIB,288.15,0.0109,101,1039,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
VEtIB,288.15,0.0163,101,1039.1,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
VEtIB,288.15,0.0209,101,1039.2,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
VEtIB,288.15,0.0268,101,1039.3,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
VEtIB,288.15,0.0342,101,1039.4,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
VEtIB,288.15,0.0413,101,1039.5,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
VEtIB,288.15,0.0465,101,1039.6,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
VEtIB,288.15,0.0546,101,1039.6,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
VEtIB,298.15,0,101,1029.8,Shekaari et al. (2019c),Density,Liquid,AArRzj,CCCCCC[n+]1ccn(C)c1.N#C[S-],1-hexyl-3-methylimidazolium thiocyanate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
