setid,"Solvent: MolaLity of tetrabutylammonium hydrogen sulfate, mol/kg","Temperature, K","MolaLity of 5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DFGPQ,0,288.15,0.0202,101,1000.3,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
DFGPQ,0,288.15,0.0365,101,1001.3,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
DFGPQ,0,288.15,0.0529,101,1002.2,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
DFGPQ,0,288.15,0.0695,101,1003.1,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
DFGPQ,0,288.15,0.0863,101,1004,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
DFGPQ,0,288.15,0.1032,101,1004.9,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
DFGPQ,0,298.15,0.0202,101,998.3,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
DFGPQ,0,298.15,0.0365,101,999.2,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
DFGPQ,0,298.15,0.0529,101,1000.1,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
DFGPQ,0,298.15,0.0695,101,1001.1,Sarkar et al. (2016b),Density,Liquid,AAncat,Cc1ncc(CO)c(CO)c1O.Cl,"5-hydroxy-6-methyl-3,4-pyridinedimethanol hydrochloride",AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
