setid,"Mole fraction of N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZUCsc,0,353.15,101,1071,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,288.15,101,1221,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,293.15,101,1217.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,298.15,101,1213.5,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,303.15,101,1209.8,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,308.15,101,1206,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,313.15,101,1202.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,318.15,101,1198.5,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,323.15,101,1194.8,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
ZUCsc,0.2006,328.15,101,1191.2,Zhang et al. (2021a),Density,Liquid,ABdzDO,CC[N+](C)(CC)CCOC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-diethyl-2-methoxy-N-methylethan-1-aminium bis((trifluoromethyl)sulfonyl)amide",AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,,,
