setid,"Temperature, K",Mole fraction of carbon dioxide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zvnlN,293.15,0.105,10000,1307,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.105,15000,1308,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.105,20000,1312,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.215,10000,1309,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.215,15000,1311,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.215,20000,1314,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.292,10000,1308,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.292,15000,1310,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.292,20000,1312,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
zvnlN,293.15,0.343,10000,1304,Tomida et al. (2011),Density,Liquid,AAIYzl,O=C=O,carbon dioxide,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
