setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium dicyanamide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oYedT,288.15,0.000389,100,999.45,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,288.15,0.000777,100,999.8,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,288.15,0.001165,100,1000.14,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,288.15,0.001552,100,1000.47,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,288.15,0.00194,100,1000.79,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,288.15,0.002327,100,1001.11,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,298.15,0.000388,100,997.35,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,298.15,0.000777,100,997.65,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,298.15,0.001165,100,997.93,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,298.15,0.001552,100,998.21,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,298.15,0.001939,100,998.48,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,298.15,0.002327,100,998.75,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,308.15,0.000389,100,994.29,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,308.15,0.000777,100,994.54,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,308.15,0.001165,100,994.79,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,308.15,0.001552,100,995.02,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,308.15,0.00194,100,995.25,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,308.15,0.002327,100,995.48,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,318.15,0.000388,100,990.43,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,318.15,0.000777,100,990.65,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
oYedT,318.15,0.001165,100,990.85,Havlov and Dohnal (2018),Density,Liquid,AADYJk,O,water,AAnYjG,CCCC[n+]1ccn(C)c1.N#C[N-]C#N,1-butyl-3-methylimidazolium dicyanamide,,,
