setid,"MolaLity of tetrapentylammonium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jwUpv,0.0526,298.15,101.325,1093.93,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
jwUpv,0.0763,298.15,101.325,1093.24,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
jwUpv,0.0889,298.15,101.325,1092.86,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
jwUpv,0.1072,298.15,101.325,1092.32,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
jwUpv,0.1266,298.15,101.325,1091.78,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
jwUpv,0.1449,298.15,101.325,1091.27,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
jwUpv,0.1624,298.15,101.325,1090.75,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
jwUpv,0.1799,298.15,101.325,1090.3,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
jwUpv,0.2099,298.15,101.325,1089.47,Garcia-Paneda et al. (1996),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABUomC,CCCCC[N+](CCCCC)(CCCCC)CCCCC.[Br-],tetrapentylammonium bromide,,,
