setid,Mole fraction of ethyl acetate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wRfge,0,303.15,101,1035.9,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0,308.15,101,1032.5,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0,313.16,101,1029.1,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0,318.16,101,1025.7,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0,323.16,101,1022.3,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0454,303.156,101,1026.2,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0454,308.156,101,1022.7,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0454,313.15,101,1019.1,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0454,318.157,101,1015.7,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0454,323.144,101,1012.2,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0956,303.157,101,1022.3,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0956,308.155,101,1018.7,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0956,313.149,101,1015.1,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0956,318.158,101,1011.7,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.0956,323.143,101,1008,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.199,303.15,101,1013.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.199,308.15,101,1009.9,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.199,313.16,101,1006.1,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.199,318.16,101,1002.3,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.199,323.14,101,998.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.2901,303.154,101,1004.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.2901,308.149,101,1000.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.2901,313.158,101,996.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.2901,318.157,101,992.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.2901,323.142,101,988.8,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
wRfge,0.412,303.157,101,992.6,Alvarez et al. (2013),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
