setid,"MolaLity of N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hKbEj,0.0084,298.15,100,777.974,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
hKbEj,0.0084,303.15,100,772.547,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
hKbEj,0.0084,308.15,100,767.094,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
hKbEj,0.0084,313.15,100,761.606,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
hKbEj,0.0084,318.15,100,756.08,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
hKbEj,0.0156,298.15,100,779.195,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
hKbEj,0.0156,303.15,100,773.77,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
hKbEj,0.0156,308.15,100,768.318,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
hKbEj,0.0156,313.15,100,762.833,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
hKbEj,0.0156,318.15,100,757.311,Marcinkowski et al. (2014a),Density,Liquid,AAHueB,CC#N,acetonitrile,ABrFvV,CCCCCCCC[N+]1(C)CCOCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,N-methyl-N-octylmorpholinium bis(trifluoromethanesulfonyl)imide,,,
