setid,Mole fraction of 1-butyl-3-methylimidazolium octyl sulfate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tUbKT,0.0088,298.15,101,812.3,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
tUbKT,0.0318,298.15,101,854.3,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
tUbKT,0.1029,298.15,101,933.4,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
tUbKT,0.191,298.15,101,982.2,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
tUbKT,0.3085,298.15,101,1015.7,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
tUbKT,0.4037,298.15,101,1032.1,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
tUbKT,0.5335,298.15,101,1045.9,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
tUbKT,0.6456,298.15,101,1054.3,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
tUbKT,0.7412,298.15,101,1059.3,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
tUbKT,0.908,298.15,101,1065.5,Domanska et al. (2006b),Density,Liquid,AAGIBL,CO,methanol,ABPBvB,CCCCCCCCOS(=O)(=O)[O-].CCCC[n+]1ccn(C)c1,1-butyl-3-methylimidazolium octyl sulfate,,,
