setid,"Temperature, K","MolaLity of N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lgInx,293.15,0,101,998.217,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.01862,101,998.819,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.0312,101,999.223,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.04853,101,999.775,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.06859,101,1000.41,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.09462,101,1001.23,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.12468,101,1002.15,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.15681,101,1003.15,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.19581,101,1004.33,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.24076,101,1005.69,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,293.15,0.30371,101,1007.54,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0,101,997.056,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.01862,101,997.642,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.0312,101,998.034,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.04853,101,998.571,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.06859,101,999.184,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.09462,101,999.978,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.12468,101,1000.88,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.15681,101,1001.85,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.19581,101,1002.99,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.24076,101,1004.3,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,298.15,0.30371,101,1006.1,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0,101,995.658,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.01862,101,996.229,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.0312,101,996.611,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.04853,101,997.133,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.06859,101,997.731,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.09462,101,998.503,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.12468,101,999.382,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.15681,101,1000.31,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.19581,101,1001.43,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.24076,101,1002.7,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,303.15,0.30371,101,1004.45,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0,101,994.042,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.01862,101,994.601,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.0312,101,994.974,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.04853,101,995.484,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.06859,101,996.068,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.09462,101,996.818,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.12468,101,997.675,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.15681,101,998.587,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.19581,101,999.665,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.24076,101,1000.9,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,308.15,0.30371,101,1002.6,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0,101,992.224,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.01862,101,992.77,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.0312,101,993.136,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.04853,101,993.631,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.06859,101,994.202,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.09462,101,994.934,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.12468,101,995.769,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.15681,101,996.658,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.19581,101,997.713,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.24076,101,998.923,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
lgInx,313.15,0.30371,101,1000.57,Warminska and Smiechowski (2022),Density,Liquid,ABIsAg,CC(=O)N[C@@H](C)C(=O)[O-].CCCCCC[N+]1(C)CCOCC1,N-hexyl-N-methylmorpholinium N-acetyl-L-alaninate,AADYJk,O,water,,,
