setid,Mole fraction of 1-ethyl-3-methylimidazolium thiocyanate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BxYvy,0,293.15,100,791,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0,298.15,100,786,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0,303.15,100,782,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0,308.15,100,777,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0,313.15,100,772,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0,318.15,100,767,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0,323.15,100,762,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0.0988,293.15,100,911,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0.0988,298.15,100,906,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0.0988,303.15,100,900,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0.0988,308.15,100,895,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0.0988,313.15,100,889,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0.0988,318.15,100,884,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0.0988,323.15,100,878,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
BxYvy,0.1966,293.15,100,978,Zhang et al. (2023c),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAGIBL,CO,methanol,,,
