setid,"MolaLity of dodecyldimethylammonium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XcqBa,0.009991,101,298,-0.149,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.01298,101,298,-0.187,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.01905,101,298,-0.302,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.02488,101,298,-0.452,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.02949,101,298,-0.576,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.03491,101,298,-0.685,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.04449,101,298,-0.914,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.04473,101,298,-0.921,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.06926,101,298,-1.518,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.07497,101,298,-1.646,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.07514,101,298,-1.646,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.09855,101,298,-2.202,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.1088,101,298,-2.447,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.1193,101,298,-2.7,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.1249,101,298,-2.819,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.1294,101,298,-2.913,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.1597,101,298,-4.242,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
XcqBa,0.1797,101,298,-4.065,De Lisi et al. (1988a),Density,Liquid,AAwCTH,CCCCCCCCCCCC[NH+](C)C.[Cl-],dodecyldimethylammonium chloride,AADYJk,O,water,,,
