setid,"MolaLity of imidazolium chloride, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZrDgI,0,101,298.15,997.05,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.04296,101,298.15,998.24,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.10274,101,298.15,999.89,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.153,101,298.15,1001.26,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.19764,101,298.15,1002.47,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.24165,101,298.15,1003.72,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.29145,101,298.15,1004.65,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.33998,101,298.15,1006.45,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.38926,101,298.15,1007.62,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.44952,101,298.15,1008.96,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
ZrDgI,0.50034,101,298.15,1010.31,Gardas et al. (2008a),Density,Liquid,AAUFrd,[Cl-].c1c[nH+]c[nH]1,imidazolium chloride,AADYJk,O,water,,,
