setid,Mole fraction of ethanol,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
apPjb,0,298.15,101,1394.5,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0,303.15,101,1390.1,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0,308.15,101,1385.7,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.0586,298.15,101,1387.3,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.0586,303.15,101,1382.9,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.0586,308.15,101,1378.5,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.0914,298.15,101,1383,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.0914,303.15,101,1378.6,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.0914,308.15,101,1374.1,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.1981,298.15,101,1367.1,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.1981,303.15,101,1362.6,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.1981,308.15,101,1358.1,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.2834,298.15,101,1351.74,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.2834,303.15,101,1347.23,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.2834,308.15,101,1342.68,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.4449,298.15,101,1313.75,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.4449,303.15,101,1309.19,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.4449,308.15,101,1304.63,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.5133,298.15,101,1292.67,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.5133,303.15,101,1288.09,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.5133,308.15,101,1283.51,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.6012,298.15,101,1259.11,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.6012,303.15,101,1254.5,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.6012,308.15,101,1249.76,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.7078,298.15,101,1203.03,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.7078,303.15,101,1198.39,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.7078,308.15,101,1193.74,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.7929,298.15,101,1139.09,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.7929,303.15,101,1134.44,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.7929,308.15,101,1129.77,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.8997,298.15,101,1011.81,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.8997,303.15,101,1007.22,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.8997,308.15,101,1002.61,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.9492,298.15,101,920.45,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.9492,303.15,101,915.95,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,0.9492,308.15,101,911.43,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,1,298.15,101,785.41,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
apPjb,1,303.15,101,781.11,Gonzalez et al. (2013e),Density,Liquid,AAIsrh,CCO,ethanol,ABdMNo,CCCC[N+]1(C)CCCC1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-butyl-1-methylpyrrolidinium bis[(trifluoromethyl)sulfonyl]imide,,,
