setid,"Temperature, K",Mole fraction of 2-hydroxy-N-methylethanaminium propionate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IUmMd,298.15,0,102.24,997.1,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.02,102.24,1016.8,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.0501,102.24,1039.1,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.1001,102.24,1056.2,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.101,102.24,1055.8,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.2006,102.24,1072.5,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.301,102.24,1072.6,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.3978,102.24,1074,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.4976,102.24,1072.3,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.5972,102.24,1071.9,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,0.8006,102.24,1068.7,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,298.15,1,102.24,1065.8,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,303.15,0,102.24,995.7,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,303.15,0.02,102.24,1013.4,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,303.15,0.0501,102.24,1036.3,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
IUmMd,303.15,0.1001,102.24,1053.4,Li et al. (2015c),Density,Liquid,AADYJk,O,water,AAcjLb,CCC(=O)[O-].C[NH2+]CCO,2-hydroxy-N-methylethanaminium propionate,,,
