setid,Mole ratio to solvent: tetrabutylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MXxhG,8,313.15,100,943.1,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,8,323.15,100,937.7,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,8,333.15,100,932.6,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,8,343.15,100,927.4,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,8,353.15,100,921.8,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,9,313.15,100,940.1,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,9,323.15,100,934.9,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,9,333.15,100,929.7,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,9,343.15,100,924.6,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,9,353.15,100,919.2,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,10,313.15,100,945.1,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,10,323.15,100,939.8,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,10,333.15,100,934.1,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,10,343.15,100,928.7,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
MXxhG,10,353.15,100,923.1,Mjalli and Al-Azzawi (2021),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAZLwl,CC(C)C[C@H](N)C(=O)O,L-leucine,,,
