setid,Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ezUfk,0,101.3,298.15,799.49,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.0036,101.3,298.15,803.91,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.0405,101.3,298.15,843.54,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.1052,101.3,298.15,902.79,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.2414,101.3,298.15,998.15,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.3198,101.3,298.15,1040.97,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.3957,101.3,298.15,1076.25,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.4704,101.3,298.15,1106.1,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.5403,101.3,298.15,1130.45,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.627,101.3,298.15,1156.87,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.7197,101.3,298.15,1181.06,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.8797,101.3,298.15,1215.7,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,0.981,101.3,298.15,1233.9,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
ezUfk,1,101.3,298.15,1236.9,Domanska and Laskowska (2008),Density,Liquid,AALcLI,CCCO,propan-1-ol,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
