setid,Weight fraction of 1-allyl-3-methylimidazolium bromide,Weight fraction of rubidium carbonate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bbMvg,0.0162,0.03,298.15,101,1026.85,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0164,0,298.15,101,1001.53,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0165,0.0601,298.15,101,1053.22,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.033,0,298.15,101,1006.11,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.033,0.03,298.15,101,1031.67,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0331,0.06,298.15,101,1058.12,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0499,0,298.15,101,1010.83,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.05,0.06,298.15,101,1063.28,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0501,0.03,298.15,101,1036.54,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0662,0.06,298.15,101,1068.24,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0664,0.0299,298.15,101,1041.37,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0665,0,298.15,101,1015.63,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0829,0.03,298.15,101,1046.25,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.083,0.06,298.15,101,1073.42,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0838,0,298.15,101,1020.61,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0983,0,298.15,101,1024.83,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.0998,0.0599,298.15,101,1078.68,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.1,0.03,298.15,101,1051.39,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.1163,0,298.15,101,1030.23,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.1165,0.06,298.15,101,1084.11,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.1169,0.03,298.15,101,1056.63,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.1324,0.06,298.15,101,1089.06,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.133,0,298.15,101,1035.51,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.133,0.0299,298.15,101,1061.51,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.1498,0,298.15,101,1039.9,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.1505,0.0301,298.15,101,1067.09,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.1513,0.06,298.15,101,1095.43,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
bbMvg,0.1665,0,298.15,101,1045.2,Yin et al. (2013),Density,Liquid,AAsVDg,O=C([O-])[O-].[Rb+].[Rb+],rubidium carbonate,AADYJk,O,water,AAnCNp,C=CC[n+]1ccn(C)c1.[Br-],1-allyl-3-methylimidazolium bromide
