setid,"Temperature, K","MolaLity of 1-methyl-3-octylimidazolium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rIUVq,278.15,0.00555,100,1000,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,278.15,0.00926,100,1000.1,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,278.15,0.01402,100,1000.2,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,278.15,0.02091,100,1000.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,278.15,0.03051,100,1000.6,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,278.15,0.04243,100,1000.9,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,278.15,0.05451,100,1001.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,283.15,0.00555,100,999.8,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,283.15,0.00926,100,999.8,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,283.15,0.01402,100,999.9,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,283.15,0.02091,100,1000,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,283.15,0.03051,100,1000.2,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,283.15,0.04243,100,1000.5,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,283.15,0.05451,100,1000.9,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,288.15,0.00555,100,999.2,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,288.15,0.00926,100,999.2,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,288.15,0.01402,100,999.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,288.15,0.02091,100,999.4,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,288.15,0.03051,100,999.6,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,288.15,0.04243,100,999.8,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,288.15,0.05451,100,1000.1,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,293.15,0.00555,100,998.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,293.15,0.00926,100,998.3,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,293.15,0.01402,100,998.4,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,293.15,0.02091,100,998.5,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,293.15,0.03051,100,998.6,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,293.15,0.04243,100,998.8,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
rIUVq,293.15,0.05451,100,999.1,Tomas et al. (2018),Density,Liquid,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,AADYJk,O,water,,,
