setid,"MolaLity of thiophene, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of 1-hexyl-3-methyl-1H-imidazolium bromide, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cVMJs,0,101.33,298.15,0.0999,773.932,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.0309,101.33,298.15,0.0999,774.44,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.041,101.33,298.15,0.0999,774.602,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.051,101.33,298.15,0.0999,774.762,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.061,101.33,298.15,0.0999,774.922,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.071,101.33,298.15,0.0999,775.08,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.081,101.33,298.15,0.0999,775.237,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.091,101.33,298.15,0.0999,775.392,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.111,101.33,298.15,0.0999,775.701,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.1212,101.33,298.15,0.0999,775.854,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.1311,101.33,298.15,0.0999,776.004,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.1412,101.33,298.15,0.0999,776.155,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
cVMJs,0.1507,101.33,298.15,0.0999,776.299,Shekaari et al. (2015d),Density,Liquid,AAQJSl,c1ccsc1,thiophene,AAQJlb,C1CCCCC1,cyclohexane,AAvbcc,CCCCCC[n+]1ccn(C)c1.[Br-],1-hexyl-3-methyl-1H-imidazolium bromide
