setid,"Mole fraction of N,N-diethyl-2-ethanolammonium pentanoate","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FdpRk,0,278.15,101,1174.1,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,283.15,101,1170.4,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,288.15,101,1166.8,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,293.15,101,1163.4,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,298.15,101,1160.1,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,303.15,101,1157,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,308.15,101,1153.7,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,313.15,101,1150.1,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,318.15,101,1147.1,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,323.15,101,1143.6,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,328.15,101,1140.3,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,333.15,101,1137.4,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,338.15,101,1134.2,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,343.15,101,1130.7,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
FdpRk,0,348.15,101,1127.5,Martins et al. (2020),Density,Liquid,AAqJKU,CCCCC(=O)[O-].CC[NH+](CC)CCO,"N,N-diethyl-2-ethanolammonium pentanoate",AAyqGc,CCCC[n+]1ccn(C)c1.COP(=O)([O-])OC,1-butyl-3-methyl-1H-imidazolium dimethylphosphate,,,
