setid,"MolaLity of 1-butyl-3-propyl-1H-imidazolium bromide, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
qpgGl,0.01,288.15,100,999.671,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.01,298.15,100,997.529,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.01,308.15,100,994.524,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.01,318.15,100,990.654,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.03,288.15,100,1000.77,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.03,298.15,100,998.483,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.03,308.15,100,995.478,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.03,318.15,100,991.53,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.05,288.15,100,1001.88,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.05,288.15,100,1001.9,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.05,298.15,100,999.437,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.05,308.15,100,996.432,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
qpgGl,0.05,318.15,100,992.406,Kaur et al. (2020),Density,Liquid,AAvbob,CCCC[n+]1ccn(CCC)c1.[Br-],1-butyl-3-propyl-1H-imidazolium bromide,AADYJk,O,water,,,
