setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UVJhY,298.15,0,101,1109.8,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.0052,101,1110.66,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.0512,101,1119.06,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.1106,101,1128.96,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.2135,101,1145.36,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.3018,101,1156.55,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.4059,101,1167.63,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.5066,101,1176.9,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.6163,101,1185.67,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.7,101,1191.66,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.8408,101,1199.4,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,0.9244,101,1203,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,298.15,1,101,1205.8,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0,101,1102.7,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.0052,101,1103.5,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.0512,101,1111.91,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.1106,101,1121.84,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.2135,101,1138.27,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.3018,101,1149.5,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.4059,101,1160.69,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.5066,101,1170.01,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.6163,101,1178.75,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.7,101,1184.71,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.8408,101,1192.6,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,0.9244,101,1196.2,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,308.15,1,101,1199.2,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,318.15,0,101,1095.5,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,318.15,0.0052,101,1096.12,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,318.15,0.0512,101,1104.2,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,318.15,0.1106,101,1114.04,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,318.15,0.2135,101,1130.75,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
UVJhY,318.15,0.3018,101,1142.35,Kumar et al. (2012),Density,Liquid,AALwIY,OCCO,"1,2-ethanediol",AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,,,
