setid,"Temperature, K",Mole fraction of dodecyltriethylphosphonium 2-cyanopyrrolide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XADfh,293.15,0.001,100,1260,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
XADfh,293.15,0.002,100,1257,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
XADfh,293.15,0.003,100,1256,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
XADfh,293.15,0.004,100,1255,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
XADfh,293.15,0.005,100,1253,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
XADfh,293.15,0.007,100,1250,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
XADfh,293.15,0.01,100,1245,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
XADfh,293.15,0.016,100,1236,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
XADfh,293.15,0.021,100,1229,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
XADfh,293.15,0.032,100,1214,Nordness et al. (2020),Density,Liquid,ABUpXr,CCCCCCCCCCCC[P+](CC)(CC)CC.N#Cc1ccc[n-]1,dodecyltriethylphosphonium 2-cyanopyrrolide,AARkmK,OCC(O)CO,glycerol,,,
