setid,Mole fraction of 1-hexyl-3-methylimidazolium hexafluorophosphate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BUUTG,0,293.15,100.7,888.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0,298.15,100.7,883.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0,303.15,100.7,877.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0,308.15,100.7,872.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0,313.15,100.7,866.7,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0,318.15,100.7,861.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0,323.15,100.7,855.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.1036,293.15,100.7,1001.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.1036,298.15,100.7,996.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.1036,303.15,100.7,991.3,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.1036,308.15,100.7,986.4,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.1036,313.15,100.7,981.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.1036,318.15,100.7,976.2,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.1036,323.15,100.7,971,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2002,293.15,100.7,1074.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2002,298.15,100.7,1070.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2002,303.15,100.7,1065.2,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2002,308.15,100.7,1060.2,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2002,313.15,100.7,1055.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2002,318.15,100.7,1050.7,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2002,323.15,100.7,1045.8,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2868,293.15,100.7,1123.7,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2868,298.15,100.7,1119,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2868,303.15,100.7,1114.1,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2868,308.15,100.7,1109.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2868,313.15,100.7,1105,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2868,318.15,100.7,1100.2,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.2868,323.15,100.7,1095.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.4134,293.15,100.7,1175.9,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.4134,298.15,100.7,1171.4,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.4134,303.15,100.7,1166.9,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.4134,308.15,100.7,1162.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.4134,313.15,100.7,1158.2,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.4134,318.15,100.7,1153.6,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.4134,323.15,100.7,1148.9,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.5222,293.15,100.7,1209.2,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.5222,298.15,100.7,1204.9,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
BUUTG,0.5222,303.15,100.7,1200.5,Vaid et al. (2015a),Density,Liquid,AANtst,C1CCOC1,tetrahydrofuran,ABICIG,CCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-hexyl-3-methylimidazolium hexafluorophosphate,,,
