setid,"MolaLity of water, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Nekqy,0.2116,298,101,1190.6,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
Nekqy,0.4529,298,101,1189.2,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
Nekqy,0.7871,298,101,1187.2,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
Nekqy,0.9494,298,101,1186.3,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
Nekqy,1.1738,298,101,1185.1,Malham et al. (2007),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
