setid,"Solvent: MolaLity of 1-hexyl-3-methylimidazolium chloride, mol/kg","Temperature, K","MolaLity of dipotassium hydrogen phosphate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RbquW,0,288.15,0,101,999,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.01907,101,1002,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.04894,101,1006,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.06838,101,1008,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.09992,101,1013,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.19917,101,1026,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.29929,101,1039,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.39647,101,1052,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.49422,101,1066,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
RbquW,0,288.15,0.60002,101,1080,Kumar and Chadha (2015a),Density,Liquid,AADYJk,O,water,AAhZiT,O=P([O-])([O-])O.[K+].[K+],dipotassium hydrogen phosphate,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride
