setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-butyl-3-methylimidazolium chloride,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bOLgW,303.15,101,0.5,940,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,308.15,101,0.5,937,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,313.15,101,0.5,934,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,318.15,101,0.5,931,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,323.15,101,0.5,928,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,328.15,101,0.5,925,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,333.15,101,0.5,922.1,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,338.15,101,0.5,919.2,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,343.15,101,0.5,916.2,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,348.15,101,0.5,913.2,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,353.15,101,0.5,910.3,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,358.15,101,0.5,907.3,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,363.15,101,0.5,904.2,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
bOLgW,368.15,101,0.5,901.2,Crespo et al. (2022),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,AAeWzK,CCCCCCCCCCO,decan-1-ol,,,
