setid,"Pressure, kPa","Temperature, K",Mole fraction of water,Mole fraction of dimethyl sulfoxide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vqSlM,92.8,293.15,0.047,0.091,1150,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,293.15,0.048,0.14,1149.6,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,303.15,0.047,0.091,1143.9,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,303.15,0.048,0.14,1143.4,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,313.15,0.047,0.091,1137.8,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,313.15,0.048,0.14,1137.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,323.15,0.047,0.091,1131.9,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,323.15,0.048,0.14,1131.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,333.15,0.047,0.091,1126.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,333.15,0.048,0.14,1125.4,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,343.15,0.047,0.091,1120.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,343.15,0.048,0.14,1119.5,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,353.15,0.047,0.091,1114.6,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,353.15,0.048,0.14,1113.6,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,363.15,0.047,0.091,1108.9,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,363.15,0.048,0.14,1107.9,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,373.15,0.047,0.091,1103.4,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.8,373.15,0.048,0.14,1102.4,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.9,293.15,0.049,0.241,1148.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.9,303.15,0.049,0.241,1142,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.9,313.15,0.049,0.241,1135.7,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.9,323.15,0.049,0.241,1129.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.9,333.15,0.049,0.241,1123.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.9,343.15,0.049,0.241,1117.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.9,353.15,0.049,0.241,1111.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.9,363.15,0.049,0.241,1105.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,92.9,373.15,0.049,0.241,1099.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93,293.15,0.023,0.728,1130.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93,303.15,0.023,0.728,1122.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93,313.15,0.023,0.728,1114.3,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93,323.15,0.023,0.728,1106.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93,333.15,0.023,0.728,1098.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93,343.15,0.023,0.728,1090.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93,353.15,0.023,0.728,1082.4,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93,363.15,0.023,0.728,1074.5,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93,373.15,0.023,0.728,1066.8,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,293.15,0.031,0.482,1143.6,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,303.15,0.031,0.482,1136.7,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,313.15,0.031,0.482,1129.7,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,313.15,0.042,0.048,1138.2,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,323.15,0.031,0.482,1122.9,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,323.15,0.042,0.048,1132.4,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,333.15,0.031,0.482,1116.1,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
vqSlM,93.1,333.15,0.042,0.048,1126.7,de Pablo et al. (2018),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water
