setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NQMZi,100,298.15,0.2,1126.3,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,298.15,0.4,1177.5,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,298.15,0.6,1207,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,298.15,0.8,1227.7,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,298.15,1,1242.3,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,308.15,0.2,1118.3,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,308.15,0.4,1169.2,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,308.15,0.6,1198.5,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,308.15,0.8,1219.1,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,308.15,1,1233.7,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,318.15,0.2,1110.2,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,318.15,0.4,1160.9,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,318.15,0.6,1190.2,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,318.15,0.8,1210.7,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,318.15,1,1225.2,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,328.15,0.2,1102.2,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,328.15,0.4,1152.6,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,328.15,0.6,1181.8,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,328.15,0.8,1202.3,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,328.15,1,1216.6,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,338.15,0.2,1094,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,338.15,0.4,1144.4,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,338.15,0.6,1173.4,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,338.15,0.8,1194,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,338.15,1,1208.3,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,348.15,0.2,1085.8,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,348.15,0.4,1136.1,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,348.15,0.6,1165.1,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,348.15,0.8,1185.6,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,100,348.15,1,1199.8,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,1000,298.15,0.2,1126.9,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,1000,298.15,0.4,1178,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,1000,298.15,0.6,1207.7,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,1000,298.15,0.8,1228.4,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,1000,298.15,1,1243,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,1000,308.15,0.2,1118.9,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,1000,308.15,0.4,1169.8,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,1000,308.15,0.6,1199.1,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
NQMZi,1000,308.15,0.8,1219.8,Domanska et al. (2018e),Density,Liquid,AByLzK,CCCCCCCCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-dodecyl-3-methyl-1H-imidazolium bis(trifluoromethylsulfonyl)amide,AAXZQi,OCCc1ccccc1,2-phenylethanol,,,
