setid,"Temperature, K","Solvent: MolaLity of tetrabutylammonium hydrogen sulfate, mol/kg","MolaLity of thiamine hydrochloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aaRNl,298.15,0,0.0202,101,999.06,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0,0.0365,101,1000.6,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0,0.0529,101,1002.11,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0,0.0695,101,1003.59,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0,0.0863,101,1005.06,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0,0.1032,101,1006.48,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.005,0.0202,101,999.23,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.005,0.0365,101,1000.77,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.005,0.0529,101,1002.28,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.005,0.0695,101,1003.76,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.005,0.0863,101,1005.23,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.005,0.1032,101,1006.66,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.01,0.0202,101,999.37,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.01,0.0364,101,1000.9,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.01,0.0529,101,1002,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.01,0.0695,101,1003.88,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
aaRNl,298.15,0.01,0.0862,101,1005.34,Sarkar and Sinha (2016),Density,Liquid,ABMsYK,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.Cl.[Cl-],thiamine hydrochloride,AADYJk,O,water,ABNPCp,CCCC[N+](CCCC)(CCCC)CCCC.O=S(=O)([O-])O,tetrabutylammonium hydrogen sulfate
