setid,"Temperature, K","Solvent: MolaLity of propylammonium formate, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cqLMV,288.15,0,0,101.325,999.129,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0,0.02012,101.325,999.786,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0,0.05495,101.325,1000.92,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0,0.07199,101.325,1001.47,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0,0.09442,101.325,1002.19,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0,0.11775,101.325,1002.94,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0,0.13344,101.325,1003.44,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0,0.16565,101.325,1004.47,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0,0.18108,101.325,1004.95,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0,0.21473,101.325,1006.02,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0,101.325,999.508,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0.02549,101.325,1000.36,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0.05465,101.325,1001.33,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0.08165,101.325,1002.22,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0.08711,101.325,1002.4,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0.10591,101.325,1003.02,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0.13692,101.325,1004.03,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0.14142,101.325,1004.18,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0.15315,101.325,1004.56,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.05,0.18293,101.325,1005.52,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0,101.325,999.895,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0.03659,101.325,1001.08,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0.05395,101.325,1001.63,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0.0787,101.325,1002.42,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0.09166,101.325,1002.84,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0.11521,101.325,1003.58,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0.13923,101.325,1004.34,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0.15389,101.325,1004.8,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0.16439,101.325,1005.12,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.1,0.18755,101.325,1005.85,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0,101.325,1000.28,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0.02903,101.325,1001.22,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0.04761,101.325,1001.81,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0.05236,101.325,1001.97,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0.06406,101.325,1002.34,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0.09558,101.325,1003.34,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0.10214,101.325,1003.55,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0.14613,101.325,1004.94,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0.16213,101.325,1005.44,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.15,0.18387,101.325,1006.12,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0,101.325,1000.66,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0.03436,101.325,1001.78,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0.04875,101.325,1002.24,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0.07008,101.325,1002.93,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0.08831,101.325,1003.51,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0.11297,101.325,1004.3,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0.12174,101.325,1004.58,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0.13983,101.325,1005.16,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0.15074,101.325,1005.5,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,288.15,0.2,0.17669,101.325,1006.33,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
cqLMV,298.15,0,0,101.325,997.047,Singh et al. (2015a),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AADYJk,O,water,AAULkX,CCC[NH3+].O=C[O-],propylammonium formate
