setid,"Temperature, K","MolaLity of benzylmethylammonium propionate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SrdJR,293.15,0,101,948.92,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,293.15,0.08756,101,949.57,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,293.15,0.16413,101,950.28,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,293.15,0.23675,101,951.32,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,293.15,0.30418,101,952.34,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,293.15,0.37425,101,952.73,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,293.15,0.46034,101,954.22,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,293.15,0.50659,101,954.42,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,293.15,0.57357,101,955.4,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,298.15,0,101,944.16,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,298.15,0.08756,101,944.8,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,298.15,0.16413,101,945.49,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,298.15,0.23675,101,946.51,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,298.15,0.30418,101,947.52,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,298.15,0.37425,101,947.9,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,298.15,0.46034,101,949.37,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,298.15,0.50659,101,949.56,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,298.15,0.57357,101,950.54,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,303.15,0,101,939.39,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,303.15,0.08756,101,940.02,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,303.15,0.16413,101,940.69,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,303.15,0.23675,101,941.69,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,303.15,0.30418,101,942.68,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,303.15,0.37425,101,943.06,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,303.15,0.46034,101,944.51,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,303.15,0.50659,101,944.69,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,303.15,0.57357,101,945.67,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,308.15,0,101,934.61,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,308.15,0.08756,101,935.23,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,308.15,0.16413,101,935.89,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,308.15,0.23675,101,936.87,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,308.15,0.30418,101,937.84,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,308.15,0.37425,101,938.2,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,308.15,0.46034,101,939.64,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,308.15,0.50659,101,939.83,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,308.15,0.57357,101,940.79,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,313.15,0,101,929.81,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,313.15,0.08756,101,930.43,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,313.15,0.16413,101,931.07,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,313.15,0.23675,101,932.04,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,313.15,0.30418,101,932.99,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,313.15,0.37425,101,933.34,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,313.15,0.46034,101,934.77,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
SrdJR,313.15,0.50659,101,934.95,Keshapolla and Gardas (2015),Density,Liquid,AAlcOZ,CCC(=O)[O-].C[NH2+]Cc1ccccc1,benzylmethylammonium propionate,AAOCWD,CN(C)C=O,dimethylformamide,,,
