setid,"MolaLity of octyl trimethyl ammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JmopH,0,101,298.15,997.043,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.04949,101,298.15,998.332,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.09684,101,298.15,999.565,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.12088,101,298.15,1000.19,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.14554,101,298.15,1000.83,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.17558,101,298.15,1001.62,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.19703,101,298.15,1002.17,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.23831,101,298.15,1003.25,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.25898,101,298.15,1003.79,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.28107,101,298.15,1004.36,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
JmopH,0.30571,101,298.15,1005,Patil et al. (2014),Density,Liquid,AAwaXG,CCCCCCCC[N+](C)(C)C.[Br-],octyl trimethyl ammonium bromide,AADYJk,O,water,,,
