setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zLoiz,0.01,288.15,0,101,1003.4,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,288.15,0.0503,101,1005,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,288.15,0.1012,101,1006.6,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,288.15,0.2004,101,1009.8,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,288.15,0.3,101,1012.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,288.15,0.3996,101,1015.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,288.15,0.4993,101,1018.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,288.15,0.6003,101,1021.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,288.15,0.6993,101,1024.7,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,288.15,0.7993,101,1027.5,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0,101,1001.2,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0.0503,101,1002.8,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0.1012,101,1004.3,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0.2004,101,1007.4,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0.3,101,1010.5,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0.3996,101,1013.4,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0.4993,101,1016.4,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0.6003,101,1019.3,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0.6993,101,1022.2,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,298.15,0.7993,101,1025,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,308.15,0,101,998,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,308.15,0.0503,101,999.5,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,308.15,0.1012,101,1001.1,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
