setid,"Solvent: MolaLity of 1-butyl-3-methylimidazolium bromide, mol/kg","Temperature, K","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zLoiz,0.01,308.15,0.2004,101,1004.1,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,308.15,0.3,101,1007.1,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,308.15,0.3996,101,1010,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,308.15,0.4993,101,1013,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,308.15,0.6003,101,1015.8,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,308.15,0.6993,101,1018.6,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.01,308.15,0.7993,101,1021.4,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0,101,1010.6,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0.0499,101,1012.2,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0.1005,101,1013.8,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0.2008,101,1016.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0.2999,101,1020,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0.4,101,1023,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0.5002,101,1026,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0.5982,101,1028.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0.6994,101,1031.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,288.15,0.7999,101,1034.8,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0,101,1008.2,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0.0499,101,1009.8,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0.1005,101,1011.3,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0.2008,101,1014.4,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0.2999,101,1017.3,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0.4,101,1020.3,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0.5002,101,1023.3,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0.5982,101,1026.1,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0.6994,101,1029,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,298.15,0.7999,101,1031.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0,101,1004.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0.0499,101,1006.4,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0.1005,101,1008,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0.2008,101,1011,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0.2999,101,1013.9,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0.4,101,1016.8,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0.5002,101,1019.7,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0.5982,101,1022.5,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0.6994,101,1025.4,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
zLoiz,0.03,308.15,0.7999,101,1028.3,Gaba et al. (2017b),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,AAqHiH,CCCC[n+]1ccn(C)c1.[Br-],1-butyl-3-methylimidazolium bromide,AADYJk,O,water
