setid,"Solvent: MolaLity of propan-2-ol, mol/kg","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XNSRk,0.02,0.01223,101,298,0.256,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.02013,101,298,0.378,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.02807,101,298,0.495,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.05872,101,298,0.902,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.09124,101,298,1.333,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.1209,101,298,1.727,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.1433,101,298,2.011,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.1647,101,298,2.294,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.1836,101,298,2.533,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.2176,101,298,2.963,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.2411,101,298,3.249,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.3198,101,298,4.17,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.4657,101,298,5.848,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.6036,101,298,7.284,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.6707,101,298,7.955,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.02,0.7927,101,298,9.176,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.0122,101,298,0.255,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.02009,101,298,0.376,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.02802,101,298,0.494,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.05879,101,298,0.904,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.09108,101,298,1.332,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.1206,101,298,1.725,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.1431,101,298,2.009,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.1644,101,298,2.292,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.1832,101,298,2.53,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.2172,101,298,2.961,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.2407,101,298,3.247,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.3192,101,298,4.169,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.4649,101,298,5.854,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.6025,101,298,7.296,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.6695,101,298,7.967,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.05,0.7913,101,298,9.195,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.01188,101,298,0.258,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.01956,101,298,0.394,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.02728,101,298,0.482,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.05725,101,298,0.89,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.08869,101,298,1.281,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.1175,101,298,1.682,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.1393,101,298,1.956,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.1601,101,298,2.297,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.1784,101,298,2.472,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.2115,101,298,2.934,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.2344,101,298,3.232,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.3109,101,298,4.126,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.4527,101,298,5.886,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.5867,101,298,7.343,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.6519,101,298,8.037,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,0.5,0.7705,101,298,9.312,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.01154,101,298,0.314,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.01901,101,298,0.491,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.02651,101,298,0.482,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.05563,101,298,0.874,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.08617,101,298,1.156,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
XNSRk,1,0.1141,101,298,1.592,De Lisi et al. (1990c),Density,Liquid,AALcwx,CC(C)O,propan-2-ol,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
